id,zone_connection_id,map_id,stop_id,name,x_coordinate,y_coordinate,left_bins_count,right_bins_count,left_bins_distance,right_bins_distance,distance_from_start,stop_type,created_at
1,1,1,STOP_01_CENTER,Stop 1 - Center,100.0,99.0,0,0,0.0,0.0,1.0,center,2026-01-12T17:06:43.272624
2,12,12,STOP_01_CENTER,Stop 1 - Center,100.0,99.0,0,0,0.0,0.0,1.0,center,2026-01-16T10:20:59.448363
3,12,12,STOP_02_CENTER,Stop 2 - Center,100.0,99.5,0,0,0.0,0.0,0.5,center,2026-01-16T15:22:08.102202
5,2,2,1,tyre_buildins,100.0,98.0,0,0,0.0,0.0,2.0,center,2026-01-22T15:57:31.675683
6,27,15,s1,s1,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-01-27T14:28:51.128738
7,29,16,s11,s11,100.0,99.0,0,0,0.0,0.0,1.0,center,2026-01-27T14:51:22.118968
8,30,16,s22,s22,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-01-28T10:54:48.959807
9,32,17,s1,s1,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-01-31T16:49:04.696074
10,34,17,s2,s2,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-02-02T12:31:26.200617
11,36,18,s1,s1,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-02-02T12:39:27.268879
12,37,18,s2,s2,100.0,100.5,0,0,0.0,0.0,0.5,center,2026-02-02T12:47:24.707030
13,40,19,p1,p1,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-02-18T12:35:57.849947
14,40,19,p2,p2,100.0,99.5,0,0,0.0,0.0,0.5,center,2026-02-18T12:36:25.716476
15,40,19,p3,p3,100.0,99.0,0,0,0.0,0.0,1.0,center,2026-02-18T12:36:45.875847
16,41,19,c,c,100.0,99.75,0,0,0.0,0.0,0.25,center,2026-02-18T12:37:49.677296
17,41,19,d,d,100.0,99.5,0,0,0.0,0.0,0.5,center,2026-02-18T12:38:21.444451
18,42,19,e,e,100.0,99.9,0,0,0.0,0.0,0.1,center,2026-02-18T12:39:23.296234
19,43,19,ch,ch,100.0,99.9,0,0,0.0,0.0,0.1,center,2026-02-18T12:39:49.683690
20,46,20,p1,p1,101.0,100.0,0,0,0.0,0.0,1.0,center,2026-02-18T15:41:56.655488
21,46,20,p2,p2,102.0,100.0,0,0,0.0,0.0,2.0,center,2026-02-18T15:42:16.097374
22,46,20,p3,p3,103.0,100.0,0,0,0.0,0.0,3.0,center,2026-02-18T15:42:51.014639
23,47,20,c,c,100.0,101.0,0,0,0.0,0.0,1.0,center,2026-02-18T15:43:11.450618
24,48,20,d,d,98.0,100.0,0,0,0.0,0.0,2.0,center,2026-02-18T15:43:29.612720
25,50,20,e,e,99.0,100.0,0,0,0.0,0.0,1.0,center,2026-02-18T15:43:56.659185
26,49,20,ch,ch,100.0,100.5,0,0,0.0,0.0,0.5,center,2026-02-18T15:44:14.696090
27,52,21,p1,p1,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-02-19T23:16:04.058581
28,53,21,c,c,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-02-19T23:17:56.166992
29,54,21,d,d,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-02-19T23:18:31.369406
30,56,21,e,e,100.0,99.9,0,0,0.0,0.0,0.1,center,2026-02-19T23:23:05.822782
31,59,22,p1,p1,100.0,100.0,0,0,0.0,0.0,0.0,center,2026-02-20T12:48:28.556943
32,59,22,p2,p2,125.0,100.0,0,0,0.0,0.0,25.0,center,2026-02-20T12:49:00.164389
33,59,22,p3,p3,150.0,100.0,0,0,0.0,0.0,50.0,center,2026-02-20T12:49:50.394586
34,60,22,c,c,100.0,150.0,0,0,0.0,0.0,50.0,center,2026-02-20T12:50:26.518153
35,62,22,e,e,100.0,150.0,0,0,0.0,0.0,50.0,center,2026-02-20T12:51:03.089510
36,61,22,d,d,150.0,100.0,0,0,0.0,0.0,50.0,center,2026-02-20T12:51:31.190296
37,67,23,p1,p1,100.0,99.9,0,0,0.0,0.0,0.1,center,2026-02-21T18:20:01.290514
38,67,23,p2,p2,100.0,99.8,0,0,0.0,0.0,0.2,center,2026-02-21T18:20:27.436010
39,67,23,p3,p3,100.0,99.7,0,0,0.0,0.0,0.3,center,2026-02-21T18:20:54.439017
40,68,23,c,c,100.0,99.9,0,0,0.0,0.0,0.1,center,2026-02-21T18:21:18.602841
41,69,23,d,d,100.0,99.9,0,0,0.0,0.0,0.1,center,2026-02-21T18:21:29.699041
42,70,23,e,e,100.0,100.6,0,0,0.0,0.0,0.6,center,2026-02-21T18:21:53.806394
43,72,24,p1,p1,100.0,98.0,0,0,0.0,0.0,2.0,center,2026-02-21T19:01:31.541023
44,73,24,c,c,99.5,100.0,0,0,0.0,0.0,0.5,center,2026-02-21T19:02:06.262103
45,74,24,d,d,101.0,100.0,0,0,0.0,0.0,1.0,center,2026-02-21T19:03:30.540629
46,75,24,e,e,99.5,100.0,0,0,0.0,0.0,0.5,center,2026-02-21T19:04:36.277941
47,76,24,ch,ch,100.0,101.0,0,0,0.0,0.0,1.0,center,2026-02-23T10:49:59.006384
48,79,25,ch,ch,99.05,100.0,0,0,0.0,0.0,0.95,center,2026-02-23T12:33:41.145404
49,80,25,p1,p1,100.0,101.8,0,0,0.0,0.0,1.8,center,2026-02-23T14:46:49.142682
50,81,25,c,c,100.95,100.0,0,0,0.0,0.0,0.95,center,2026-02-23T14:47:49.394023
51,77,25,d,d,100.0,99.0,0,0,0.0,0.0,1.0,center,2026-02-23T14:48:32.145866
52,78,25,e,e,100.0,99.2,0,0,0.0,0.0,0.8,center,2026-02-23T14:48:52.512939
53,87,26,p1,p1,98.0,100.0,0,0,0.0,0.0,2.0,center,2026-02-25T12:44:39.872385
54,89,26,p2,p2,98.0,100.0,0,0,0.0,0.0,2.0,center,2026-02-25T12:45:20.954208
55,92,26,c,c,100.0,103.0,0,0,0.0,0.0,3.0,center,2026-02-25T12:46:37.903677
56,92,26,d,d,100.0,106.0,0,0,0.0,0.0,6.0,center,2026-02-25T12:47:14.991831
57,93,26,e,e,101.5,100.0,0,0,0.0,0.0,1.5,center,2026-02-25T13:10:19.982665
58,100,27,p1,p1,100.0,98.0,0,0,0.0,0.0,2.0,center,2026-02-28T12:55:59.877397
59,112,27,p2,p2,100.0,98.0,0,0,0.0,0.0,2.0,center,2026-02-28T12:56:30.931020
60,107,27,c,c,96.0,100.0,0,0,0.0,0.0,4.0,center,2026-02-28T12:57:54.298782
61,108,27,d,d,100.0,102.0,0,0,0.0,0.0,2.0,center,2026-02-28T12:58:50.428169
62,109,27,e,e,98.0,100.0,0,0,0.0,0.0,2.0,center,2026-02-28T13:09:27.745487
63,114,28,p1,p1,100.0,98.0,0,0,0.0,0.0,2.0,center,2026-03-05T11:15:00
64,116,28,p2,p2,100.0,98.0,0,0,0.0,0.0,2.0,center,2026-03-05T11:15:00
66,119,28,c,c,98.0,100.0,0,0,0.0,0.0,2.0,center,2026-03-05T11:15:00
67,120,28,d,d,100.0,102.0,0,0,0.0,0.0,2.0,center,2026-03-05T11:15:00
68,121,28,e,e,98.0,100.0,0,0,0.0,0.0,2.0,center,2026-03-05T11:15:00
69,130,29,p1,p1,100.0,98.0,0,0,0.0,0.0,2.0,center,2026-02-28T12:55:59.877397
70,133,29,p2,p2,100.0,98.0,0,0,0.0,0.0,2.0,center,2026-02-28T12:56:30.931020
71,137,29,c,c,96.0,100.0,0,0,0.0,0.0,4.0,center,2026-02-28T12:57:54.298782
72,138,29,d,d,100.0,102.0,0,0,0.0,0.0,2.0,center,2026-02-28T12:58:50.428169
73,139,29,e,e,98.0,100.0,0,0,0.0,0.0,2.0,center,2026-02-28T13:09:27.745487
74,177,30,C,Charging,100.0,101.0,0,0,0.0,0.0,1.0,center,2026-03-17T11:27:05.258772
75,178,30,C1,Charging,100.0,101.0,0,0,0.0,0.0,1.0,center,2026-03-17T11:27:31.067997
76,165,30,D1,Dispatching,101.0,100.0,0,0,0.0,0.0,1.0,center,2026-03-17T11:27:51.659308
77,168,30,D2,Dispatching,101.0,100.0,0,0,0.0,0.0,1.0,center,2026-03-17T11:28:04.434199
78,172,30,P,Painting,100.0,99.0,0,0,0.0,0.0,1.0,center,2026-03-17T11:28:20.130392
